strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,5,20261022,72,18,0.0033,0.0333,100.0000,0.0521,0.4833,0.3285,6.8860,0.0000,93.0556,1.0000,1.3889,0.0000
FIFO,LOW,DENSE,6,20261023,72,18,0.1083,0.6333,100.0000,0.0282,0.2000,0.0979,52.3996,62.5000,84.7222,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,6,20261023,72,18,0.1083,0.6333,100.0000,0.0282,0.2000,0.0979,52.3996,62.5000,84.7222,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,6,20261023,72,18,0.0133,0.1333,100.0000,0.0213,0.1667,0.3607,7.7533,0.0000,88.8889,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,6,20261023,72,18,0.0133,0.1333,100.0000,0.0213,0.1667,0.3607,7.7533,0.0000,88.8889,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,7,20261024,72,18,0.0000,0.0000,100.0000,0.0185,0.2333,0.0714,54.9334,68.0556,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,7,20261024,72,18,0.0000,0.0000,100.0000,0.0185,0.2333,0.0714,54.9334,68.0556,93.0556,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,7,20261024,72,18,0.0000,0.0000,100.0000,0.0220,0.1000,0.4576,6.4027,0.0000,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,7,20261024,72,18,0.0000,0.0000,100.0000,0.0220,0.1000,0.4576,6.4027,0.0000,97.2222,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,8,20261025,72,18,0.1881,0.4667,100.0000,0.0507,0.4667,0.1142,53.8474,62.5000,90.2778,1.0000,0.0000,0.0000
